向第三个中输入斯黛拉 {"command":"input_text","vindex":"三","text":"斯黛拉","mode":0}
给我向第五十个中输入四万 {"command":"input_text","vindex":"五十","text":"四万","mode":0}
给我添加所以你知道我心情不好到第十九个 {"command":"input_text","vindex":"十九","text":"所以你知道我心情不好","mode":0}
向第六个尾部添加如果我要是不同意的话 {"command":"input_text","vindex":"六","text":"如果我要是不同意的话","mode":0}
帮我进入第四十三个 {"command":"click","vindex":"四十三","mode":0}
给我输入我们白天工作你带一整天到第四十八个 {"command":"input_text","vindex":"四十八","text":"我们白天工作你带一整天","mode":0}
帮我第一个下滑 {"command":"swipe","vindex":"一","direction":"下"}
向第十五个尾部输入虽然房子卖了搬了家了 {"command":"input_text","vindex":"十五","text":"虽然房子卖了搬了家了","mode":0}
给我上滑第二十六个 {"command":"swipe","vindex":"二十六","direction":"上"}
请把第五十四个向上滑 {"command":"swipe","vindex":"五十四","direction":"上"}
查看第四个 {"command":"click","vindex":"四","mode":0}
查看第九个 {"command":"click","vindex":"九","mode":0}
向第五十三个尾部添加你到底是不是跟我一头的 {"command":"input_text","vindex":"五十三","text":"你到底是不是跟我一头的","mode":0}
请向第三十三个尾部添加前两天做的 {"command":"input_text","vindex":"三十三","text":"前两天做的","mode":0}
帮我添加没觉着人家对你挺好的到第五十个 {"command":"input_text","vindex":"五十","text":"没觉着人家对你挺好的","mode":0}
点击第四个 {"command":"click","vindex":"四","mode":0}
输入容易让他产生一种心理依赖到第四十四个 {"command":"input_text","vindex":"四十四","text":"容易让他产生一种心理依赖","mode":0}
给我向第十个尾部输入他明天一早就要走 {"command":"input_text","vindex":"十","text":"他明天一早就要走","mode":0}
向右移动第四十三个 {"command":"swipe","vindex":"四十三","direction":"右"}
给我输入眼下我要做的就是把毛总拿下到第三十七个 {"command":"input_text","vindex":"三十七","text":"眼下我要做的就是把毛总拿下","mode":0}
输入你可以选择不来到第十五个 {"command":"input_text","vindex":"十五","text":"你可以选择不来","mode":0}
向第三十六个中输入你干嘛非要这样子 {"command":"input_text","vindex":"三十六","text":"你干嘛非要这样子","mode":0}
请向第五十四个尾部输入我说不用 {"command":"input_text","vindex":"五十四","text":"我说不用","mode":0}
请向左滑动第三十七个 {"command":"swipe","vindex":"三十七","direction":"左"}
看下第三十个 {"command":"click","vindex":"三十","mode":0}
给我看下第二十八个 {"command":"click","vindex":"二十八","mode":0}
给我输入我现在只是先试试水到第五十九个 {"command":"input_text","vindex":"五十九","text":"我现在只是先试试水","mode":0}
请输入不是我的意思是到第二十一个 {"command":"input_text","vindex":"二十一","text":"不是我的意思是","mode":0}
帮我第三十六个往右 {"command":"swipe","vindex":"三十六","direction":"右"}
请把第十二个向右滑 {"command":"swipe","vindex":"十二","direction":"右"}
第十八个上滑 {"command":"swipe","vindex":"十八","direction":"上"}
点击第八个 {"command":"click","vindex":"八","mode":0}
请向第二十九个中输入如果爸爸妈妈有一天分开的话 {"command":"input_text","vindex":"二十九","text":"如果爸爸妈妈有一天分开的话","mode":0}
给我向第五十个中输入你的钱我还能要你就住 {"command":"input_text","vindex":"五十","text":"你的钱我还能要你就住","mode":0}
给我向下移动第十七个 {"command":"swipe","vindex":"十七","direction":"下"}
第三十七个上滑 {"command":"swipe","vindex":"三十七","direction":"上"}
请向上滑动第四十二个 {"command":"swipe","vindex":"四十二","direction":"上"}
帮我向第二十一个尾部添加努力改造自己 {"command":"input_text","vindex":"二十一","text":"努力改造自己","mode":0}
请向第十三个尾部输入行 {"command":"input_text","vindex":"十三","text":"行","mode":0}
帮我输入你急什么我还没跟你说到第二十六个 {"command":"input_text","vindex":"二十六","text":"你急什么我还没跟你说","mode":0}
请添加我爱人刚去世不久到第四十四个 {"command":"input_text","vindex":"四十四","text":"我爱人刚去世不久","mode":0}
把第五个向左滑 {"command":"swipe","vindex":"五","direction":"左"}
帮我右滑第四个 {"command":"swipe","vindex":"四","direction":"右"}
帮我输入我哪好意思在管人家到第五十个 {"command":"input_text","vindex":"五十","text":"我哪好意思在管人家","mode":0}
帮我向第十九个尾部输入怎么又是一只小狗 {"command":"input_text","vindex":"十九","text":"怎么又是一只小狗","mode":0}
给我把第四个向下滑 {"command":"swipe","vindex":"四","direction":"下"}
向第九个尾部添加可妈这么做可是有原因的 {"command":"input_text","vindex":"九","text":"可妈这么做可是有原因的","mode":0}
帮我打开第十九个 {"command":"click","vindex":"十九","mode":0}
向右移动第十二个 {"command":"swipe","vindex":"十二","direction":"右"}
输入我带你去参观一下优胜劣汰的工作环境到第四十八个 {"command":"input_text","vindex":"四十八","text":"我带你去参观一下优胜劣汰的工作环境","mode":0}
添加今天你姐姐来律所找你到第十一个 {"command":"input_text","vindex":"十一","text":"今天你姐姐来律所找你","mode":0}
帮我输入有什么用啊到第十二个 {"command":"input_text","vindex":"十二","text":"有什么用啊","mode":0}
帮我把第二十七个向左滑 {"command":"swipe","vindex":"二十七","direction":"左"}
帮我点击第八个 {"command":"click","vindex":"八","mode":0}
请向第三十个中输入这事咱们一定得管 {"command":"input_text","vindex":"三十","text":"这事咱们一定得管","mode":0}
向第五十九个中输入到时候我还得照顾您的情绪 {"command":"input_text","vindex":"五十九","text":"到时候我还得照顾您的情绪","mode":0}
帮我向第十六个尾部添加我随我妈姓了 {"command":"input_text","vindex":"十六","text":"我随我妈姓了","mode":0}
下滑第四十二个 {"command":"swipe","vindex":"四十二","direction":"下"}
输入很有可能因为你的目光短浅到第三十六个 {"command":"input_text","vindex":"三十六","text":"很有可能因为你的目光短浅","mode":0}
添加你呢一个大男人就会抱怨你还会干什么到第十四个 {"command":"input_text","vindex":"十四","text":"你呢一个大男人就会抱怨你还会干什么","mode":0}
给我添加真的不能再喝了到第五十个 {"command":"input_text","vindex":"五十","text":"真的不能再喝了","mode":0}
帮我看下第三十个 {"command":"click","vindex":"三十","mode":0}
帮我输入你看她对爸说话那个态度到第十个 {"command":"input_text","vindex":"十","text":"你看她对爸说话那个态度","mode":0}
帮我向左滑动第二个 {"command":"swipe","vindex":"二","direction":"左"}
向第四十一个中输入由艾斯佩肯和罗门一起填的词 {"command":"input_text","vindex":"四十一","text":"由艾斯佩肯和罗门一起填的词","mode":0}
给我向下滑动第三十九个 {"command":"swipe","vindex":"三十九","direction":"下"}
给我向第五十七个尾部输入理解万岁 {"command":"input_text","vindex":"五十七","text":"理解万岁","mode":0}
向第十七个中输入也未必照顾得过来 {"command":"input_text","vindex":"十七","text":"也未必照顾得过来","mode":0}
向第八个中输入老余家 {"command":"input_text","vindex":"八","text":"老余家","mode":0}
向第五个尾部添加万一他生病了 {"command":"input_text","vindex":"五","text":"万一他生病了","mode":0}
给我向第四十三个尾部添加我就开始跑场子走秀 {"command":"input_text","vindex":"四十三","text":"我就开始跑场子走秀","mode":0}
向第十个尾部添加是个金领 {"command":"input_text","vindex":"十","text":"是个金领","mode":0}
给我输入你的意思是告诉他蒂娜怀孕了到第六十个 {"command":"input_text","vindex":"六十","text":"你的意思是告诉他蒂娜怀孕了","mode":0}
给我把第五十四个向右滑 {"command":"swipe","vindex":"五十四","direction":"右"}
给我输入家明我知道到第二个 {"command":"input_text","vindex":"二","text":"家明我知道","mode":0}
第五个下滑 {"command":"swipe","vindex":"五","direction":"下"}
向第四十个尾部输入你还想怎么样 {"command":"input_text","vindex":"四十","text":"你还想怎么样","mode":0}
帮我进入第二十个 {"command":"click","vindex":"二十","mode":0}
输入咱们家闺女欺负人家了到第五十七个 {"command":"input_text","vindex":"五十七","text":"咱们家闺女欺负人家了","mode":0}
向第四十四个尾部添加真的 {"command":"input_text","vindex":"四十四","text":"真的","mode":0}
帮我第九个点击 {"command":"click","vindex":"九","mode":0}
按一下第十二个 {"command":"click","vindex":"十二","mode":0}
给我查看第三十五个 {"command":"click","vindex":"三十五","mode":0}
第二十二个点击 {"command":"click","vindex":"二十二","mode":0}
第三十五个点击 {"command":"click","vindex":"三十五","mode":0}
帮我第四十一个往下 {"command":"swipe","vindex":"四十一","direction":"下"}
向第三个中输入这地儿怎么看 {"command":"input_text","vindex":"三","text":"这地儿怎么看","mode":0}
请点击第四十个 {"command":"click","vindex":"四十","mode":0}
向第十六个尾部输入前两天做的 {"command":"input_text","vindex":"十六","text":"前两天做的","mode":0}
向第十二个尾部输入我就应该帮他去完成 {"command":"input_text","vindex":"十二","text":"我就应该帮他去完成","mode":0}
向第五十五个尾部输入怎么 {"command":"input_text","vindex":"五十五","text":"怎么","mode":0}
给我把第四十七个向右滑 {"command":"swipe","vindex":"四十七","direction":"右"}
请向上滑动第一个 {"command":"swipe","vindex":"一","direction":"上"}
查看第四个 {"command":"click","vindex":"四","mode":0}
点击第三十三个 {"command":"click","vindex":"三十三","mode":0}
给我查看第四十九个 {"command":"click","vindex":"四十九","mode":0}
帮我向第二十七个尾部输入你要在这吃啊 {"command":"input_text","vindex":"二十七","text":"你要在这吃啊","mode":0}
帮我向第十五个中输入理由来看你 {"command":"input_text","vindex":"十五","text":"理由来看你","mode":0}
帮我下滑第十七个 {"command":"swipe","vindex":"十七","direction":"下"}
请第三十九个往右 {"command":"swipe","vindex":"三十九","direction":"右"}
向第二十二个尾部输入家里一堆破事儿烦 {"command":"input_text","vindex":"二十二","text":"家里一堆破事儿烦","mode":0}
输入你再说一遍到第五十七个 {"command":"input_text","vindex":"五十七","text":"你再说一遍","mode":0}
请输入行三全的到第五十四个 {"command":"input_text","vindex":"五十四","text":"行三全的","mode":0}
请向第五十四个尾部输入回来累了躺床上没吃药 {"command":"input_text","vindex":"五十四","text":"回来累了躺床上没吃药","mode":0}
